bookID,isbn,title,authors,categories,published_year,average_rating,num_pages,ratings_count
270,60788194,A Fistful of Charms,Kim Harrison,Fiction,2006,4.28,510,46881
271,60788380,For a Few Demons More,Kim Harrison,Fiction,2007,4.33,456,47314
272,60790598,Mysteries of Pittsburgh,Michael Chabon,Fiction,2005,3.64,320,21338
273,60792175,Everything Is Illuminated tie-in,Jonathan Safran Foer,Fiction,2005,3.9,276,1754
274,60792787,Flight of the Nighthawks,Raymond E. Feist,Fiction,2006,3.95,368,9378
275,60792809,Into a Dark Realm,Raymond E. Feist,Fiction,2007,4,319,8974
276,60793198,The 3-Hour Diet (TM) On the Go (Collins Gem),Jorge Cruise,Health & Fitness,2005,3.08,192,30
277,60815523,The Best American Crime Writing 2006,Mark Bowden;Otto Penzler;Thomas H. Cook,True Crime,2006,3.99,352,200
278,60815914,Last of the Wilds,Trudi Canavan,Fiction,2006,4.03,576,9725
279,60815922,Voice of the Gods,Trudi Canavan,Fiction,2007,4.08,592,9413
280,60816228,Missing Mom,Joyce Carol Oates,Fiction,2006,3.54,464,3425
281,60819227,"The Collected Letters of C.S. Lewis, Volume 3",C. S. Lewis,Biography & Autobiography,2004,4.49,1840,140
282,60823720,Touch Not the Cat,Mary Stewart,Fiction,2005,3.91,372,4857
283,60833173,King of the Vagabonds,Neal Stephenson,Fiction,2006,4.16,400,1859
284,60833181,Odalisque,Neal Stephenson,Fiction,2006,4.2,464,1505
285,60834005,Black Boy,Richard Wright,Biography & Autobiography,2005,4.05,432,89
286,60834820,The Sheltering Sky,Paul Bowles,Fiction,2005,3.91,313,898
287,60837160,Rat Bastards,John Shea,Biography & Autobiography,2006,3.51,304,34
288,60837330,The Last Days of Henry VIII,Robert Hutchinson,Biography & Autobiography,2005,4.14,368,1460
289,60837551,The Thorn Birds,Colleen McCullough,Fiction,2005,4.23,673,516
290,60838590,Krakatoa,Simon Winchester,History,2005,3.87,464,14491
291,60839783,The Professor and the Madman,Simon Winchester,Biography & Autobiography,2005,3.84,242,81384
292,60840889,Hit Parade,Lawrence Block,Fiction,2006,3.86,295,99
293,60841869,The Curtain,Milan Kundera,Literary Collections,2006,3.96,176,1351
294,60844094,"A Hard Day's Write, 3e",Steve Turner,Music,2005,4.18,224,152
295,60845244,"The Lion, the Witch and the Wardrobe Read-Aloud Edition",C. S. Lewis;Pauline Baynes,Juvenile Fiction,2005,4.21,189,56
296,60845309,"Mambo Kings Play Songs of Love, The Tie-in",Oscar Hijuelos,Fiction,2005,3.68,448,126
297,60846739,Sex with the Queen,Eleanor Herman,History,2006,3.91,336,3676
298,60850523,Brave New World,Aldous Huxley,Fiction,2006,3.98,259,12332
299,60851988,Queen of Babble,Meg Cabot,Fiction,2006,3.69,309,59613
300,60852550,"Animal, Vegetable, Miracle",Barbara Kingsolver;Camille Kingsolver;Steven L. Hopp,Biography & Autobiography,2007,4.04,370,86130
301,60853980,Good Omens,Neil Gaiman;Terry Pratchett,Fiction,2006,4.25,412,373135
302,60854090,Dates From Hell,Kim Harrison;Lynsay Sands;Kelley Armstrong;Lori Handeland,Fiction,2006,3.78,416,10467
303,60854944,Continental Drift,Russell Banks,Fiction,2007,3.87,408,2744
304,60872799,The Burglar Who Thought He Was Bogart,Lawrence Block,Fiction,2006,3.89,400,2079
305,60872985,Next,Michael Crichton,Fiction,2006,3.49,431,57257
306,60880120,How to Be Popular,Meg Cabot,Juvenile Fiction,2006,3.54,288,19183
